C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET23:33:20

sptypes = 'A'
-------------

Number of objects : 11389

  #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
-----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
1    |HD 201445                          |*  |21 08 21.8476532176 +38 29 07.657539975|     ~| 9.41 | 9.23 |     ~|     ~|A              |   3|   0
2    |HD 202600                          |*  |21 15 44.9219453853 +38 20 01.362070756|     ~| 9.58 | 9.00 |     ~|     ~|A              |   1|   0
3    |HD 203920                          |*  |21 24 02.2010782923 +39 09 33.636908444|     ~| 8.95 | 8.93 |     ~|     ~|A              |   4|   0
4    |HD 203628                          |*  |21 22 27.3797294183 +38 16 51.127545820|     ~| 9.69 | 9.50 |     ~|     ~|A              |   2|   0
5    |HD 204006                          |*  |21 24 31.6987448918 +39 47 08.260078946|     ~| 9.01 | 8.74 |     ~|     ~|A              |   1|   0
6    |HD 205223                          |** |21 32 49.6516842 +39 04 20.012267      |     ~| 8.99 | 8.83 |     ~|     ~|A              |  12|   1
7    |BD+42 4219                         |*  |21 49 07.7333615614 +42 41 34.755419110|     ~|10.61 |10.27 |     ~|     ~|A              |   1|   0
8    |HD 208564                          |*  |21 56 03.4362792780 +43 19 21.812654396|     ~| 9.05 | 8.99 |     ~|     ~|A              |   3|   0
9    |HD 211072                          |*  |22 13 44.7510552959 +42 27 43.513664031|     ~| 8.97 | 8.95 |     ~|     ~|A              |   3|   0
10   |HD 211496                          |*  |22 16 36.3106782968 +42 50 23.463410710|     ~| 9.01 | 8.70 |     ~|     ~|A              |   6|   0
11   |HD 213834                          |*  |22 33 33.0228535669 +44 48 07.869795360|     ~|10.97 |10.93 |     ~|     ~|A              |   1|   0
12   |HD 215270                          |*  |22 43 16.6383876518 +45 14 12.000505948|     ~|10.79 |10.58 |     ~|     ~|A              |   3|   0
13   |BD+44 4212                         |*  |22 43 16.5268903651 +45 14 51.825228732|     ~|10.53 | 9.34 |     ~|     ~|A              |   1|   0
14   |HD 215610                          |*  |22 45 41.9208029744 +45 09 43.297792322|     ~|10.82 |10.59 |     ~|     ~|A              |   2|   0
15   |HD 215685                          |*  |22 46 13.6818024740 +45 42 47.968830936|     ~|10.67 |10.53 |     ~|     ~|A              |   3|   0
16   |HD 214820                          |*  |22 40 03.8306 +44 00 55.773            |     ~|11.28 |10.97 |     ~|     ~|A              |   1|   0
17   |HD 216670                          |*  |22 54 08.2502358725 +45 11 15.884737679|     ~|10.64 |10.48 |     ~|     ~|A              |   3|   0
18   |BD+45 4103                         |*  |22 58 39.2520005932 +46 07 46.277084077|     ~|10.36 | 9.97 |     ~|     ~|Am             |   5|   0
19   |HD 216862                          |*  |22 55 53.8118507165 +45 04 58.600086174|     ~|10.33 |10.30 |     ~|     ~|A              |   4|   0
20   |HD 215989                          |*  |22 48 21.2602060856 +46 16 04.984389061|     ~|10.35 |10.05 |     ~|     ~|A              |   2|   0
21   |HD 222315                          |*  |23 39 13.2865264336 +47 28 22.537905106|     ~| 9.71 | 9.66 |     ~|     ~|A              |   2|   0
22   |GD 3                               |PM*|00 08 46.0169602116 +45 00 54.820313647|     ~|12.52 |12.55 |     ~|     ~|A              |   9|   0
23   |HD 1222                            |*  |00 16 49.7364778300 +47 14 38.505000987| 9.000| 9.210| 9.210|     ~|     ~|A              |   6|   0
24   |HD 8183                            |*  |01 22 02.6158840492 +45 17 39.192996380|     ~|10.83 |10.76 |     ~|     ~|A              |   1|   0
25   |HD 8790                            |*  |01 27 30.4053013656 +45 11 03.613088317|     ~|10.64 |10.20 |     ~|     ~|A              |   1|   0
26   |HD 10704                           |*  |01 45 34.0726414777 +43 43 20.743000032|     ~| 9.72 | 9.55 |     ~|     ~|A              |   1|   0
27   |HD 11473                           |*  |01 53 47.5770483309 +42 56 10.224465478|     ~| 9.66 | 9.49 |     ~|     ~|A              |   1|   0
28   |HD 13188                           |*  |02 09 53.4805668657 +40 31 18.577882270|     ~| 8.71 | 8.52 |     ~|     ~|A              |   5|   0
29   |HD 200841                          |*  |21 04 42.6231758533 +41 00 28.785160035|     ~| 8.33 | 8.28 |     ~|     ~|A              |  18|   0
30   |HD 201004                          |*  |21 05 31.3863914855 +41 09 46.562629744|     ~| 8.98 | 8.91 |     ~|     ~|A              |   4|   0
31   |HD 202598                          |*  |21 15 36.0105975982 +42 25 44.661201218|     ~| 9.44 | 9.19 |     ~|     ~|A              |   1|   0
32   |HD 204195                          |*  |21 25 48.8120637468 +42 31 34.623998239|     ~| 9.21 | 9.18 |     ~|     ~|A              |   3|   0
33   |HD 204359                          |** |21 26 48.9239 +42 27 56.590            |     ~| 9.01 | 8.96 |     ~|     ~|A              |  11|   0
34   |HD 204005                          |*  |21 24 26.5315570601 +43 26 33.702531099|     ~| 9.11 | 9.16 |     ~|     ~|A              |   2|   0
35   |HD 207057                          |*  |21 45 13.9719481610 +43 19 55.426599666|     ~| 9.01 | 8.91 |     ~|     ~|A              |   6|   0
36   |BD+46 3614                         |*  |22 12 16.0740906154 +47 11 06.496011774|     ~| 9.41 | 9.42 |     ~|     ~|A              |   0|   0
37   |HD 210821                          |*  |22 12 05.2246610685 +45 33 48.042650917|     ~| 9.25 | 9.11 |     ~|     ~|A              |   1|   0
38   |HD 210887                          |*  |22 12 29.0195004040 +45 34 18.731213243|     ~| 9.37 | 9.26 |     ~|     ~|A              |   2|   0
39   |HD 209482                          |*  |22 02 38.8634837897 +46 13 18.120162269|     ~| 9.17 | 9.08 |     ~|     ~|A              |   4|   0
40   |HD 213888                          |*  |22 33 40.7998692290 +47 03 12.000738010|     ~|10.92 |10.91 |     ~|     ~|A              |   1|   0
41   |HD 213944                          |*  |22 34 08.0927583661 +47 04 16.283684538|     ~|10.90 |10.65 |     ~|     ~|A              |   3|   0
42   |HD 214020                          |*  |22 34 39.7346254246 +46 45 54.950568290|     ~|10.27 |10.32 |     ~|     ~|A              |   3|   0
43   |HD 214472                          |*  |22 37 31.4079149712 +47 19 42.777607799|     ~|10.96 |10.67 |     ~|     ~|A              |   1|   0
44   |HD 215225                          |*  |22 42 57.7649817158 +47 08 08.666693231|     ~|10.15 | 9.87 |     ~|     ~|A              |   3|   0
45   |HD 214280                          |*  |22 36 18.9398267246 +46 02 43.060352519|     ~|10.95 |10.58 |     ~|     ~|A              |   7|   0
