C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET23:22:53

sptypes = 'B'
-------------

Number of objects : 8496

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type     |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|--------------------|----|----
1   |KPD 2118+3841                      |HS*|21 20 42.0283306192 +38 53 53.101618058|12.64 |13.68 |13.85 |14.05 |     ~|sdB                 |   6|   0
2   |FBS 2151+406                       |HS*|21 53 36.1797011879 +40 53 49.057837275|     ~|     ~|     ~|     ~|     ~|sdB                 |   6|   0
3   |FBS 2152+408                       |HS*|21 54 50.7434567873 +41 04 11.452593608|     ~|     ~|     ~|     ~|     ~|sdB                 |   5|   0
4   |FBS 2202+436                       |HS*|22 04 18.1380718540 +43 55 09.258550086|     ~|13.94 |13.61 |     ~|     ~|sdB                 |   7|   0
5   |FBS 2212+421                       |HS*|22 14 35.6063608209 +42 23 03.912053349|     ~|14.38 |14.15 |     ~|     ~|sdB                 |   6|   0
6   |FBS 2304+440                       |HS*|23 06 30.4467828426 +44 18 48.754203963|     ~|14.57 |14.5  |     ~|     ~|sdB                 |   7|   0
7   |HS 0040+4417                       |HS*|00 43 21.2052629599 +44 34 23.948139326|     ~|16.15 |16.45 |     ~|     ~|sdB                 |  10|   0
8   |FBS 0140+427                       |HS*|01 43 00.0565008803 +42 57 19.608786189|     ~|16.37 |15.98 |     ~|     ~|sdB                 |   6|   0
9   |KUV 02340+3734                     |HS*|02 37 05.5947655264 +37 46 37.217242306|     ~|17.0  |     ~|     ~|     ~|sdB                 |   3|   0
10  |KUV 02507+3706                     |HB*|02 53 47.5870194179 +37 18 37.118295000|     ~|17.0  |     ~|     ~|     ~|BN                  |   2|   0
11  |KUV 02374+3735                     |HS*|02 40 32.8392432637 +37 47 53.766498648|     ~|16.5  |15.99 |     ~|     ~|sdB                 |   3|   0
12  |KUV 02432+3637                     |*  |02 46 17.9283440319 +36 49 40.504698929|     ~|15.5  |     ~|     ~|     ~|B                   |   2|   0
13  |KUV 02532+3534                     |*  |02 56 21.0961168892 +35 45 43.145290593|     ~|16.0  |15.49 |     ~|     ~|B                   |   2|   0
14  |LS II +36 84                       |PM*|20 49 12.0468758922 +36 40 24.611795766|12.03 |12.16 |     ~|11.1  |     ~|B                   |   6|   0
15  |EM* MWC 1036                       |Em*|21 03 08.0374341895 +38 59 30.157540416|     ~|11.25 |11.19 |     ~|     ~|Be                  |   9|   0
16  |BD+40 4436                         |Em*|21 11 47.9812699362 +40 36 30.243421661|     ~|11.50 |11.31 |     ~|     ~|B                   |   7|   0
17  |BD+42 4141                         |*  |21 34 59.4515205111 +43 26 43.820082841|     ~|10.41 |10.16 |     ~|     ~|B                   |   5|   0
18  |BD+42 4162                         |Be*|21 37 50.0317208393 +42 58 30.848459543|     ~| 9.34 | 9.30 |     ~|     ~|Be                  |   6|   0
19  |BD+41 4191                         |Em*|21 33 41.5343351922 +41 52 08.576449289|     ~|10.80 |10.55 |     ~|     ~|B                   |   9|   0
20  |BD+43 4040                         |Em*|21 45 41.4087339055 +44 12 02.046613423|     ~|10.51 |10.48 |     ~|     ~|B                   |   8|   0
21  |LS III +43 27                      |*  |21 45 57.1098381120 +44 07 09.723256656|     ~|11.82 |11.73 |     ~|     ~|B                   |   4|   0
22  |LS III +43 28                      |*  |21 53 24.2644563515 +44 08 02.499409381|     ~|11.91 |11.49 |     ~|     ~|B                   |   4|   0
23  |LS III +44 48                      |*  |22 01 50.1620404010 +44 18 55.162463977|     ~|12.25 |11.98 |     ~|     ~|B                   |   4|   0
24  |BD+45 3808                         |*  |22 07 39.3093581641 +46 12 00.461871510|10.55 |10.23 | 9.98 |     ~|     ~|B                   |   6|   0
