C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET23:34:38

sptypes = 'F'
-------------

Number of objects : 3144

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
1   |HD 225067                          |*  |00 03 09.9799559582 +45 07 33.348645788|     ~|10.37 |10.05 |     ~|     ~|F              |   4|   1
2   |HD 225066                          |*  |00 03 09.0312978347 +45 07 30.387755250|     ~| 9.62 | 9.06 |     ~|     ~|F              |   5|   0
3   |HD 4461                            |*  |00 47 12.4446077976 +46 10 57.025005751| 9.700| 9.633| 9.543| 9.503| 9.463|F              |   2|   0
4   |HD 3755                            |*  |00 40 42.8593666796 +44 51 43.247704416|     ~| 9.23 | 8.79 |     ~|     ~|F              |   1|   0
5   |HD 8198                            |*  |01 22 18.0585646675 +45 07 41.621287286|     ~|10.64 |10.22 |     ~|     ~|F              |   1|   0
6   |HD 8208                            |*  |01 22 29.5714313475 +45 21 58.307571423|     ~|10.83 |10.52 |     ~|     ~|F              |   1|   0
7   |HD 8722                            |*  |01 26 49.5278541553 +45 11 42.044893319|     ~|10.45 |10.06 |     ~|     ~|F              |   1|   0
8   |HD 8800                            |*  |01 27 38.4254647287 +44 39 04.285493775|     ~|10.82 |10.40 |     ~|     ~|F              |   1|   0
9   |HD 8318                            |*  |01 23 18.6333918068 +43 51 44.487503343|     ~|10.75 |10.45 |     ~|     ~|F              |   1|   0
10  |BD+38 4234                         |*  |20 47 24.0826636443 +38 48 36.227592767|     ~| 9.80 | 9.37 |     ~|     ~|F              |   0|   0
11  |HD 204684                          |*  |21 29 04.7541192396 +43 09 05.832891702|     ~| 9.82 | 9.43 |     ~|     ~|F              |   1|   0
12  |NGC 7209 57                        |*  |22 04 51.5403079801 +46 43 47.031000865|     ~|12.74 |     ~|     ~|     ~|F              |   4|   0
13  |TYC 3625-1566-1                    |*  |22 44 50.3618479220 +47 38 33.703353424|     ~|11.99 |11.53 |     ~|     ~|F              |   2|   0
14  |BD+47 4070                         |*  |23 12 10.2901932287 +48 34 06.145595123|     ~|11.47 |10.81 |     ~|     ~|F              |   0|   0
15  |BD+48 4071                         |*  |23 30 21.619 +49 11 37.55              |     ~|11.50 |11.27 |     ~|     ~|Fev            |   1|   0
