C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.21CET20:36:27

sptypes = 'G'
-------------

Number of objects : 3851

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
1   |BD+43 4139                         |*  |22 09 26.6320555206 +44 12 27.524353059|     ~|12.40 |10.98 |     ~|     ~|G              |   0|   0
2   |BD+42 4316                         |*  |22 11 04.2989256224 +43 06 16.255633849|     ~|11.04 |10.80 |     ~|     ~|G              |   0|   0
3   |AG+44 2118                         |** |22 46 51.533 +44 20 22.14              |     ~|12.64 |12.00 |11.95 |     ~|G              |   7|   1
4   |BD+45 4191                         |PM*|23 18 33.6462998230 +46 41 55.270410165|     ~| 9.45 | 9.02 |     ~|     ~|G              |   0|   0
5   |TYC 3229-1355-1                    |*  |23 15 07.7642429433 +44 55 59.656996404|     ~|12.18 |11.99 |     ~|     ~|G              |   1|   0
6   |BD+45 4361                         |V* |23 55 36.0 +46 45 00                   |     ~|11.5  |     ~|     ~|     ~|G              |   2|   0
7   |BD+45 290                          |*  |01 11 08.7588630112 +46 14 23.914835448|     ~|11.04 |10.03 |     ~|     ~|G              |   0|   0
8   |HD 7589                            |*  |01 16 37.9442343928 +44 59 34.466233032|     ~|10.70 |10.05 |     ~|     ~|G              |   1|   0
9   |HD 7698                            |*  |01 17 33.7531875625 +44 24 19.365292116|     ~|10.76 |10.25 |     ~|     ~|G              |   1|   0
10  |AG+44 184                          |*  |01 41 21.6282091155 +44 34 36.926336220|     ~|11.8  |10.8  |     ~|     ~|G              |   1|   0
11  |TYC 2837-2258-1                    |*  |02 03 02.799 +41 30 55.46              |     ~|12.64 |12.09 |     ~|     ~|G              |   1|   0
12  |BD+40 486                          |*  |02 21 14.7661675273 +40 43 09.394241200|     ~|10.82 |10.32 |     ~|     ~|G              |   0|   0
13  |BD+40 490                          |*  |02 21 27.4946884000 +40 42 48.343892991|     ~|11.94 |10.91 |     ~|     ~|G              |   0|   0
14  |HD 16444                           |*  |02 39 31.9854504281 +40 08 18.172024364|     ~| 9.54 | 9.10 |     ~|     ~|G              |   1|   0
15  |BD+43 3951                         |*  |21 31 11.6817405698 +44 04 20.293440644|     ~| 9.47 | 8.44 |     ~|     ~|G              |   0|   0
16  |BD+43 4125                         |*  |22 05 12.3387163695 +44 40 43.450859020|     ~|11.32 |10.40 |     ~|     ~|G              |   0|   0
17  |TYC 3607-719-1                     |*  |22 20 36.4041042655 +45 25 43.012510217|     ~|12.04 |11.51 |     ~|     ~|G              |   0|   0
18  |BD+45 4025                         |*  |22 42 26.0308923322 +46 41 56.239305777|     ~|12.32 |10.68 |     ~|     ~|G              |   1|   0
19  |BD+47 3954                         |*  |22 52 28.3038752726 +48 01 24.751688915|     ~|11.39 |11.07 |     ~|     ~|G              |   0|   0
20  |BD+46 3853                         |*  |22 51 54.1116787663 +47 46 00.397887448|     ~|11.55 |10.28 |     ~|     ~|G              |   1|   0
21  |BD+47 4013                         |*  |23 01 18.4216218507 +48 20 02.455129608|     ~|11.60 |10.33 |     ~|     ~|G              |   0|   0
22  |BD+47 4078                         |*  |23 13 11.5383409528 +48 22 59.834460946|     ~|11.27 |10.11 |     ~|     ~|G              |   0|   0
23  |BD+48 4012                         |*  |23 21 50.0260551819 +49 05 33.051886333|     ~|10.98 | 9.28 |     ~|     ~|G              |   0|   0
24  |BD+49 4319                         |*  |00 03 47.6345636366 +50 28 54.663123909|     ~|10.01 | 9.48 |     ~|     ~|G              |   1|   0
25  |BD+47 40B                          |*  |00 15 58.7266006839 +48 35 23.454831399|     ~|10.55 |10.17 |     ~|     ~|G              |   0|   0
26  |BD+47 388                          |*  |01 21 33.1281871932 +48 10 47.714630214|     ~|10.48 | 9.37 |     ~|     ~|G              |   0|   0
27  |HD 7941                            |*  |01 19 51.2765919283 +46 59 15.396161302|     ~|10.88 |10.32 |     ~|     ~|G              |   1|   0
28  |AG+48 144                          |*  |01 20 14.547 +48 16 57.01              |     ~|12.3  |11.4  |     ~|     ~|G              |   1|   0
29  |BD+47 377                          |*  |01 20 07.0303368725 +48 15 34.484180254|     ~|11.54 |10.20 |     ~|     ~|G              |   1|   0
30  |TYC 2849-23-1                      |*  |02 41 27.1448537784 +40 16 02.099159172|     ~|10.93 |10.09 |     ~|     ~|G              |   0|   0
31  |BD+39 632                          |*  |02 46 24.6843 +40 19 43.673            |     ~|11.86 |11.67 |     ~|     ~|G              |   0|   0
32  |HD 275137                          |*  |03 16 38.0148191525 +37 52 29.780150415|     ~|11.50 |10.81 |     ~|     ~|G              |   1|   0
33  |HD 202520                          |** |21 15 05.0959 +42 57 09.421            |     ~| 9.23 | 8.41 |     ~|     ~|G              |   7|   0
34  |BD+44 3786                         |*  |21 21 13.9578110387 +44 48 10.909553073|     ~| 9.74 | 8.84 |     ~|     ~|G              |   0|   0
35  |BD+45 3578                         |*  |21 32 18.7153694954 +46 13 53.616343562|     ~|11.03 |10.05 |     ~|     ~|G              |   0|   0
36  |EM* LkHA 236                       |Em*|21 52 31.6680002530 +47 13 45.227817693|     ~|17    |16.53 |     ~|     ~|G              |   6|   0
37  |TYC 3604-2214-1                    |*  |21 48 03.2675395369 +46 08 18.470230010|     ~|11.45 |10.25 |     ~|     ~|G              |   0|   0
38  |BD+46 3570                         |*  |22 04 47.6717643196 +47 29 21.098355036|     ~|10.69 |10.13 |     ~|     ~|G              |   0|   0
39  |TYC 3619-3735-1                    |*  |22 25 40.4061043131 +50 41 09.697438177|     ~|12.00 |11.14 |     ~|     ~|GIII:          |   2|   0
40  |GSC 03615-02172                    |*  |22 26 09.08 +50 27 23.7                |     ~|     ~|12.0  |     ~|     ~|GIII:          |   1|   0
41  |GSC 03628-00093                    |*  |22 41 10.9890655595 +49 52 22.444482220|     ~|     ~|12.2  |     ~|     ~|GIII:          |   1|   0
42  |GSC 03633-00083                    |*  |22 44 12.5215889906 +50 42 54.231636489|     ~|     ~|12.4  |     ~|     ~|G              |   1|   0
43  |HD 236017                          |*  |23 01 25.4678960419 +51 08 46.985342596|     ~|11.10 |10.20 |     ~|     ~|G              |   2|   0
44  |BD+49 4041                         |*  |23 06 35.7332245834 +50 36 49.175532220|     ~|11.09 |10.49 |     ~|     ~|G              |   0|   0
45  |BD+51 3700                         |*  |23 44 45.9766853504 +52 29 50.358878188|     ~|11.20 |10.60 |     ~|     ~|G              |   1|   0
46  |BD+51 3702                         |PM*|23 45 05.1588033848 +52 35 13.952443649|     ~|11.15 |10.67 |     ~|     ~|G              |   1|   0
47  |BD+50 4162                         |*  |23 49 55.2202204359 +51 31 20.932799877|     ~|10.61 |10.21 |     ~|     ~|G              |   1|   0
48  |BD+52 18                           |*  |00 11 50.8960181047 +52 55 49.045486716|     ~|10.92 | 9.67 |     ~|     ~|G              |   0|   0
49  |TYC 3259-1689-1                    |*  |00 16 54.0656057856 +52 26 52.646711720|     ~|11.51 |10.45 |     ~|     ~|G              |   1|   0
50  |BD+49 214                          |*  |00 50 22.7151594136 +50 38 01.222780659|     ~|10.88 | 9.95 |     ~|     ~|G              |  16|   0
51  |BD+49 295                          |*  |01 06 59.8791498145 +50 36 37.822036328|     ~|10.75 |10.11 |     ~|     ~|G              |   0|   0
52  |HD 7613                            |*  |01 16 57.2739862864 +49 52 51.664281346|     ~| 9.39 | 8.90 |     ~|     ~|G              |   1|   0
53  |BD+43 558                          |*  |02 42 42.8897945992 +44 32 19.244693599|     ~|10.69 |10.10 |     ~|     ~|G              |   2|   0
54  |V* V577 And                        |RS*|02 38 57.3057297495 +44 44 23.124720540|     ~|11.48 |10.85 |     ~|     ~|G              |   6|   0
55  |TYC 2858-792-1                     |*  |02 50 15.7038013600 +44 41 14.441898025|     ~|11.72 |11.15 |     ~|     ~|G              |   2|   0
56  |BD+43 564                          |*  |02 43 34.7050433333 +43 37 27.621431694|     ~|11.02 | 9.92 |     ~|     ~|G              |   2|   0
57  |BD+42 678                          |*  |03 00 25.9278572545 +42 37 02.494343116|     ~|11.44 |10.96 |11.0  |     ~|G              |   2|   0
58  |HD 275077                          |*  |03 14 52.9005556748 +40 30 23.719968706|     ~|11.77 |11.26 |     ~|     ~|G              |   1|   0
59  |HD 275210                          |*  |03 22 01.7750138927 +39 07 20.622980680|     ~|11.67 |11.27 |     ~|     ~|G              |   1|   0
60  |HD 275202                          |*  |03 19 06.3706011238 +39 32 21.983426885|     ~|11.32 |10.56 |     ~|     ~|G              |   1|   0
61  |HD 275204                          |*  |03 20 40.6416041024 +39 22 04.733559335|     ~|11.52 |10.41 |     ~|     ~|G              |   1|   0
62  |HD 275087                          |*  |03 17 43.6985669481 +39 53 21.322023271|     ~|11.91 |11.29 |     ~|     ~|G              |   1|   0
63  |BD+40 4177                         |PM*|20 27 30.6445296897 +41 28 09.582518398|     ~| 9.607| 8.94 |     ~|     ~|G              |   5|   0
64  |BD+40 4229                         |*  |20 33 18.2628146303 +40 56 10.629952117|     ~| 9.89 | 9.44 |     ~|     ~|G              |   6|   0
65  |EM* LkHA 172                       |TT*|20 52 26.764 +44 17 06.63              |     ~|16.044|14.631|     ~|12.840|Ge             |  23|   0
66  |TYC 3575-4326-1                    |*  |20 55 25.5212996138 +45 59 48.202645129|     ~|11.74 |11.31 |     ~|     ~|G              |   1|   0
67  |EM* UHA 127                        |Em*|21 02 37.1055828260 +44 49 12.668867103|     ~|13.36 |12.68 |12.72 |     ~|G              |   4|   0
68  |EM* UHA 31                         |Em*|20 49 39.9439804765 +45 04 01.398967514|     ~|15    |14    |     ~|     ~|G              |   4|   0
69  |TYC 3612-2374-1                    |*  |21 45 07.9263529860 +48 49 17.047845960|     ~|12.27 |11.62 |     ~|     ~|G              |   0|   0
70  |NGC 7092 111                       |*  |21 32 58.6889307831 +48 27 49.279931641|     ~|13.06 |12.52 |     ~|     ~|G              |   2|   0
71  |TYC 3632-571-1                     |*  |22 31 43.5470714661 +52 00 37.002880678|     ~|11.78 |10.35 |     ~|     ~|G              |   2|   0
72  |HD 215808                          |PM*|22 46 54.1186827476 +53 48 09.284213627|     ~| 8.58 | 8.03 |     ~|     ~|G              |  10|   0
73  |TYC 4003-378-1                     |*  |23 26 53.6236800569 +55 39 46.627073130|     ~|11.60 |10.97 |     ~|     ~|G              |   0|   0
74  |TYC 3657-316-1                     |*  |00 24 36.5093183196 +55 00 16.363324610|     ~|11.12 |10.07 |     ~|     ~|G              |   0|   0
