C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET23:37:43

sptypes = 'K'
-------------

Number of objects : 6163

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
1   |BD+36 4315                         |*  |20 54 42.4605 +37 13 53.180            |     ~|11.49 |10.37 |     ~|     ~|K              |   0|   0
2   |HD 203455                          |*  |21 21 11.5448290359 +38 55 42.785889517|     ~| 9.97 | 8.75 |     ~|     ~|K              |   2|   0
3   |BD+38 4491                         |*  |21 25 21.3112028215 +38 56 42.585481564|     ~|11.41 | 9.82 |     ~|     ~|K              |   0|   0
4   |BD+40 4616                         |*  |21 42 27.6491794538 +41 00 25.089102439|     ~|10.94 | 9.84 |     ~|     ~|K              |   0|   0
5   |[FS2003] 1135                      |*  |21 48 54.28 +40 44 43.8                |     ~|     ~|     ~|     ~|     ~|K              |   2|   0
6   |BD+42 4364                         |*  |22 21 52.0714897148 +42 49 33.296287353|     ~|10.86 | 9.42 |     ~|     ~|K              |   2|   0
7   |BD+41 4486                         |*  |22 24 50.5721820625 +42 35 44.682364144|     ~|10.78 | 9.14 |     ~|     ~|K              |   0|   0
8   |BD+46 3978                         |*  |23 13 42.5802036113 +47 11 52.166051933|     ~|10.43 | 9.13 |     ~|     ~|K              |   0|   0
9   |HD 555                             |*  |00 10 09.7590777693 +47 35 32.577120018|     ~|10.74 | 9.96 |     ~|     ~|K              |   1|   0
10  |TYC 2812-2316-1                    |*  |01 15 58.9925773828 +43 34 45.102604901|     ~|12.79 |11.49 |     ~|     ~|K              |   1|   0
11  |TYC 2823-2402-1                    |PM*|01 47 45.5792883868 +42 36 44.117477713|     ~|12.42 |11.52 |     ~|     ~|K              |   1|   0
12  |HD 201090                          |*  |21 06 11.6138531066 +40 58 36.880290013|     ~| 9.50 | 8.44 |     ~|     ~|K              |   4|   0
13  |SAO 50462                          |*  |21 07 01.2164480480 +41 24 56.470545270|     ~|10.71 | 9.80 |     ~|     ~|K              |   6|   0
14  |BD+40 4433                         |*  |21 11 24.6874035137 +41 07 48.771823953|     ~|10.25 | 9.08 |     ~|     ~|K              |   1|   0
15  |BD+41 4139                         |*  |21 26 52.3077711674 +42 32 21.533091439|     ~|10.07 | 8.64 |     ~|     ~|K              |   0|   0
16  |GSC 03196-00833                    |*  |21 40 05.5684163821 +43 16 07.404255488|     ~|11.3  |10.14 |     ~|     ~|K              |   0|   0
17  |BD+44 3949                         |*  |21 48 15.9473098348 +44 40 21.847925197|     ~|11.75 |10.55 |     ~|     ~|K              |   0|   0
18  |BD+45 3762                         |*  |22 01 17.3943411942 +46 21 05.659808002|     ~|10.62 | 9.62 |     ~|     ~|K              |   5|   0
19  |NGC 7209 120                       |*  |22 06 21.0482932910 +46 23 43.616455946|     ~|13.25 |     ~|     ~|     ~|K              |   1|   0
20  |GSC 03611-00390                    |*  |22 29 11.4278901693 +47 50 32.547456893|     ~|     ~|12.3  |     ~|     ~|KV:            |   1|   0
21  |BD+47 3935                         |*  |22 49 56.6727648925 +48 31 12.182360120|     ~|11.41 |10.50 |     ~|     ~|K              |   0|   0
22  |StKM 1-2063                        |*  |22 55 05.5639774811 +47 16 28.690498562|     ~|11.40 |10.10 |     ~|     ~|K              |   2|   0
23  |BD+46 4018                         |*  |23 21 33.4993101164 +47 45 46.348182000|     ~|10.39 | 9.22 |     ~|     ~|K              |   0|   0
24  |TYC 3644-1331-1                    |*  |23 24 39.7491026703 +49 47 57.107121800|     ~|12.33 |11.86 |     ~|     ~|K              |   0|   0
25  |BD+48 4152                         |*  |23 46 20.8644879261 +49 29 24.238499636|     ~|10.91 | 9.23 |     ~|     ~|K              |   0|   0
26  |BD+48 124                          |*  |00 26 08.7260465961 +49 28 03.042701425|     ~| 9.66 | 8.48 |     ~|     ~|K              |   0|   0
27  |StKM 1-59                          |*  |00 36 41.1840455975 +50 03 48.418127028|     ~|11.62 |10.28 |     ~|     ~|K              |   1|   0
28  |2MASS J00330933+4832245            |*  |00 33 09.3375077432 +48 32 24.426871520|     ~|     ~|     ~|     ~|     ~|KIII           |   2|   0
29  |2MASS J00332410+4829546            |*  |00 33 24.1085124307 +48 29 54.617752778|     ~|     ~|     ~|     ~|     ~|KIII           |   2|   0
30  |[BD2004c] 97                       |C* |00 33 03.522 +48 31 14.98              |     ~|     ~|     ~|21.956|20.511|KIII           |   3|   0
31  |[SKR2006] 5                        |C* |00 33 07.215 +48 31 29.62              |     ~|     ~|     ~|22.190|21.031|KIII           |   4|   0
32  |[SKR2006] 39                       |C* |00 33 12.886 +48 29 50.98              |     ~|     ~|     ~|     ~|     ~|KIII           |   3|   0
33  |[BD2004c] 104                      |C* |00 33 04.78 +48 29 04.5                |     ~|     ~|     ~|21.523|20.203|KIII           |   2|   0
