C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET23:40:58

sptypes = 'M'
-------------

Number of objects : 3876

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
1   |V* DL Lac                          |Mi*|21 58 37.1643224018 +41 46 24.702681595|     ~|     ~|     ~|     ~|     ~|Me             |  10|   0
2   |BD+43 4169                         |*  |22 19 44.2292446247 +44 13 50.284433588|     ~|12.62 |10.60 |     ~|     ~|M              |   0|   0
3   |V* FZ Lac                          |Mi*|22 34 52.7360760609 +45 05 09.221162227|     ~|11.23 | 9.70 |     ~|     ~|M              |   0|   0
4   |BD+46 42                           |*  |00 16 30.2221530167 +46 48 37.492710619|     ~|12.04 |10.52 |     ~|     ~|M              |   0|   0
5   |BD+45 113                          |*  |00 29 13.7794493071 +46 32 32.460006312|     ~|12.26 |10.76 |     ~|     ~|M              |   0|   0
6   |HD 11612                           |*  |01 55 01.1746380022 +42 06 42.504132383|     ~|11.20 | 9.66 | 9.26 |     ~|Ma             |   1|   0
7   |BD+39 518                          |*  |02 18 50.0082285280 +40 23 46.791754800|     ~|11.41 |10.11 |     ~|     ~|M              |   0|   0
8   |BD+37 631                          |*  |02 47 07.8724958416 +37 41 45.336075587|     ~|10.78 | 9.50 |     ~|     ~|M              |   0|   0
9   |BD+38 4244                         |*  |20 49 47.5363806596 +38 33 10.884327709|     ~|10.21 | 8.22 |     ~|     ~|M              |   2|   0
10  |BD+44 3964                         |*  |21 51 07.4632143451 +45 31 36.962364978|     ~|11.74 |10.26 |     ~|     ~|M              |   0|   0
11  |BD+47 3855                         |*  |22 36 30.9279825307 +47 55 57.594896340|     ~|11.44 |10.00 |     ~|     ~|MIII:          |   1|   0
12  |BD+47 3870                         |*  |22 39 00.2785261272 +48 25 38.445741338|     ~|11.39 | 9.82 |     ~|     ~|MIII:          |   1|   0
13  |TYC 3624-853-1                     |*  |22 34 09.1758517378 +48 11 53.429407393|     ~|12.14 |10.40 |     ~|     ~|MIII:          |   1|   0
14  |TYC 3624-593-1                     |*  |22 30 56.8997302173 +48 13 18.213021017|     ~|12.56 |10.89 |     ~|     ~|MIII:          |   1|   0
15  |TYC 3624-1607-1                    |*  |22 32 42.9601123289 +48 05 27.408780036|     ~|12.42 |10.66 |     ~|     ~|MIII:          |   1|   0
16  |TYC 3625-1315-1                    |*  |22 41 32.2546468652 +47 38 30.283733726|     ~|12.87 |11.34 |     ~|     ~|MIII:          |   2|   0
17  |TYC 3611-493-1                     |*  |22 27 54.8249698959 +47 45 51.236650619|     ~|12.50 |10.98 |     ~|     ~|MIII:          |   1|   0
18  |TYC 3611-132-1                     |*  |22 28 00.5146773353 +48 02 36.820964336|     ~|12.34 |11.19 |     ~|     ~|MIII:          |   1|   0
19  |TYC 3611-884-1                     |*  |22 26 46.6384158315 +48 08 42.924780459|     ~|13.91 |11.17 |     ~|     ~|MIII:          |   1|   0
20  |S1* 706                            |S* |22 29 22.6841493096 +47 25 11.550187667|     ~|12.99 |11.33 |     ~|     ~|MS             |   2|   0
21  |TYC 3625-1034-1                    |*  |22 44 09.8588595129 +48 32 35.352884050|     ~|12.57 |10.72 |     ~|     ~|MIII:          |   1|   0
22  |S1* 720                            |S* |23 05 09.3965334629 +49 40 48.853933180|     ~|12.35 |10.98 |     ~|     ~|MS             |   4|   0
23  |BD+48 4032                         |*  |23 24 45.3772531639 +49 47 15.717604070|     ~|12.55 |10.93 |     ~|     ~|M              |   0|   0
24  |YW 49                              |*  |20 37 54.0 +39 52 00                   |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
25  |BD+40 4270                         |*  |20 40 03.8078350326 +40 34 54.573354735|     ~|11.34 | 9.76 |     ~|     ~|M              |   1|   0
26  |TYC 3181-4028-1                    |*  |21 18 29.6341181164 +43 30 26.680869220|     ~|11.84 |10.12 |     ~|     ~|M              |   0|   0
27  |V* V1335 Cyg                       |LP*|21 21 18.7338499344 +45 51 24.428737888|     ~|11.85 | 9.62 |     ~|     ~|M              |   3|   0
28  |NSV 25534                          |V* |21 15 06.9344808493 +44 42 16.895388252|     ~|14.0  |12.0  |     ~|     ~|M              |   5|   0
29  |S1* 689                            |S* |21 36 26.7616662173 +46 35 57.527069695|     ~|12.91 |11.03 |     ~|     ~|MSwk           |   3|   0
30  |S1* 695                            |S* |21 53 09.1684689144 +46 16 18.907451396|     ~|13.93 |10.89 |     ~|     ~|MS             |   5|   0
31  |BD+47 3836                         |*  |22 32 44.7645306295 +48 39 02.547314392|     ~|10.79 | 9.29 |     ~|     ~|MIII:          |   1|   0
32  |V* V410 Lac                        |LP*|22 28 45.5955192942 +50 08 16.750494033|     ~|10.45 | 8.86 |     ~|     ~|MIII:          |  12|   0
33  |TYC 3615-1066-1                    |*  |22 27 11.3339019931 +49 45 58.738005993|     ~|12.04 |10.63 |     ~|     ~|MIII:          |   0|   0
34  |BD+48 3737                         |*  |22 27 29.9817119663 +49 44 26.693713804|     ~|11.16 | 9.61 |     ~|     ~|MIII:          |   2|   0
35  |BD+48 3780                         |*  |22 36 48.9253063261 +49 02 41.979265477|     ~|11.08 | 9.57 |     ~|     ~|MIII:          |   1|   0
36  |TYC 3628-1952-1                    |*  |22 34 11.1131415176 +49 59 34.594919496|     ~|12.55 |11.14 |     ~|     ~|MIII:          |   2|   0
