C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET22:57:14

sptypes = 'O'
-------------

Number of objects : 1597

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |   spec. type    |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|-----------------|----|----
1   |FBS 2149+425                       |HS*|21 51 05.1736248176 +42 46 44.044886761|     ~|15.09 |15.22 |     ~|     ~|sdOA             |   8|   0
2   |KPD 2145+4216                      |HS*|21 47 24.2724212339 +42 31 34.234986972|14.34 |15.63 |15.38 |15.80 |     ~|sdO              |   7|   0
3   |FBS 2241+447                       |HS*|22 43 34.8733318259 +44 57 43.365350671|     ~|14.61 |14.45 |     ~|     ~|sdOA             |   5|   0
4   |PN Vy 2-3                          |PN |23 22 57.9041909556 +46 53 58.073615908|     ~|     ~|     ~|     ~|     ~|O(H)3-4I         |  81|   0
5   |HD 14633                           |SB*|02 22 54.2920198726 +41 28 47.723244543| 6.14 | 8.79 | 8.73 | 8.69 |     ~|ON8.5V           | 209|   0
6   |KUV 02445+3633                     |HS*|02 47 34.9990353348 +36 45 50.362716111|     ~|12.82 |13.01 |13.27 |     ~|sdOHe            |  12|   0
7   |KPD 2322+4933                      |HS*|23 24 32.7262135183 +49 50 55.081129086|12.48 |13.60 |13.69 |13.94 |     ~|sdO              |   6|   0
8   |KPD 2349+5009                      |HS*|23 52 07.5741889609 +50 26 46.156054035|     ~|14.57 |14.62 |14.96 |     ~|sdO              |   4|   0
9   |FBS 0248+394                       |HS*|02 51 12.9795171496 +39 37 42.788389021|     ~|     ~|     ~|     ~|     ~|sdOA             |   4|   0
10  |FBS 0255+379                       |HS*|02 58 40.9002989221 +38 09 36.923790916|     ~|     ~|14.5  |     ~|     ~|sdOA             |   9|   0
11  |FBS 0314+372                       |HS*|03 17 37.4094430361 +37 29 12.806816632|     ~|     ~|     ~|     ~|     ~|sdOA             |   6|   0
12  |KPD 2259+5149                      |HS*|23 02 00.3401164666 +52 05 21.775821909|12.85 |13.85 |13.84 |14.10 |     ~|sdO              |   5|   0
13  |KPD 2326+5102                      |HS*|23 29 14.4535532006 +51 19 00.024626400|13.71 |15.21 |15.26 |15.18 |     ~|sdO              |   5|   0
14  |KPD 0033+5229                      |HS*|00 35 52.3574070435 +52 45 49.487715005|14.87 |15.66 |15.43 |16.23 |     ~|sdO              |   5|   0
15  |FBS 0308+399                       |HS*|03 12 08.2215445144 +40 06 54.219212560|     ~|15.51 |15.34 |15.56 |     ~|sdOA             |   8|   0
16  |OH 83.4 -0.9                       |OH*|20 50 58.6196470462 +42 48 11.447926086|     ~|     ~|     ~|     ~|     ~|O-rich           |  42|   1
17  |PN Hb 12                           |PN |23 26 14.8207203464 +58 10 54.538636094|     ~|13.51 |11.49 |12.44 |     ~|Oe               | 316|   0
18  |KPD 0319+4553                      |HS*|03 22 38.9724192617 +46 04 33.744562760|13.00 |13.86 |13.65 |13.79 |     ~|sdO              |   5|   0
19  |HD 191423                          |*  |20 08 07.1135734619 +42 36 21.963024228| 7.43 | 8.19 | 8.03 |     ~|     ~|ON9II-IIInn      | 103|   0
20  |HD 218941                          |*  |23 11 14.8157204030 +60 34 21.732077750|10.34 |10.34 | 9.678|     ~|     ~|O                |  19|   0
21  |BD+60 2584                         |Be*|23 35 41.4969750048 +61 11 19.329083185|10.25 |10.78 |10.3  |     ~|     ~|O                |  22|   0
22  |[VSG2007] 8                        |*  |00 20 27.447 +59 17 35.84              |     ~|     ~|22.0  |     ~|21.14 |OV               |   4|   0
23  |HD 12323                           |SB*|02 02 30.1267578900 +55 37 26.377362418| 7.95 | 8.87 | 8.92 |     ~|     ~|ON9.2V           | 169|   0
24  |HD 13268                           |*  |02 11 29.7002216680 +56 09 31.717631935| 7.48 | 8.24 | 8.18 |     ~|     ~|ON8.5IIIn        | 163|   0
25  |HD 191781                          |s*b|20 09 50.5815085623 +45 24 10.485607388|10.1  |10.06 | 9.53 |     ~|     ~|ON9.7Iab         |  60|   0
26  |UVEX J022113.52+564810.7           |HS*|02 21 13.5389198076 +56 48 10.725251780|16.434|17.00 |16.90 |     ~|     ~|sdO              |   2|   0
27  |KPD 1938+4220                      |HS*|19 39 39.8981482564 +42 28 01.898809848|14.35 |15.32 |15.70 |15.94 |     ~|sdO              |   7|   0
28  |IRAS 03156+5828                    |*  |03 19 37.6328442163 +58 39 46.805661390|     ~|     ~|     ~|     ~|     ~|O-rich           |   5|   1
29  |BD+54 728                          |*  |04 00 54.3949102162 +55 13 40.078679980|12.891|11.13 |10.30 |     ~|     ~|Ope              |  10|   0
30  |NGC 6742                           |PN |18 59 20.030 +48 27 55.24              |     ~|     ~|16.567|     ~|     ~|O(H)III-V        |  55|   0
31  |KUV 20417+7604                     |HS*|20 40 46.8607886119 +76 14 39.815208917|     ~|12.65 |12.71 |12.90 |     ~|sdO              |   9|   0
32  |RAFGL 712                          |OH*|05 16 47.474 +45 34 04.14              |     ~|     ~|     ~|     ~|     ~|O-rich           |  29|   1
33  |FBS 0550+641                       |HS*|05 55 42.0907717468 +64 08 12.575522572|     ~|     ~|13.33 |     ~|     ~|sdO              |   7|   0
34  |CCDM J17522+4657AB                 |** |17 52 09.761 +46 56 32.60              |     ~| 9.0  |     ~|     ~|     ~|O                |   1|   0
35  |HS 1753+6911                       |HS*|17 53 24.6090588998 +69 10 57.477063250|     ~|     ~|15.46 |     ~|     ~|sdO              |   8|   0
36  |FBS 1713+822                       |HS*|17 08 01.5901625761 +82 05 53.294440271|     ~|     ~|     ~|     ~|     ~|sdOHe            |   6|   0
37  |FBS 0709+751                       |HS*|07 16 18.7105487290 +75 02 42.865763955|     ~|     ~|15.04 |     ~|     ~|sdOHe            |   8|   0
38  |FBS 0654+697                       |HS*|07 00 08.9035427853 +69 35 31.309699077|     ~|16.43 |16.83 |     ~|     ~|sdO              |   5|   0
39  |SBSS 1716+581                      |HS*|17 17 22.0643903793 +58 05 58.717001220|     ~|16.6  |16.78 |16.7  |     ~|sdO              |  16|   1
40  |PG 1708+614                        |HS*|17 08 40.6132162964 +61 17 46.497397349|     ~|     ~|14.4  |     ~|     ~|sdOC             |  15|   0
41  |PG 1638+676                        |HS*|16 38 43.7422246222 +67 28 08.363468038|     ~|15.68 |15.97 |16.52 |     ~|sdOC             |  10|   1
42  |AG+81 266                          |HS*|09 21 19.1767236633 +81 43 27.629923778|10.392|11.59 |11.95 |12.09 |12.281|sdO              |  60|   0
43  |PN Sa 4-1                          |PN |17 13 50.3510580021 +49 16 11.029774277|     ~|14    |14.3  |     ~|     ~|O(H)3V           |  33|   0
44  |PG 1704+466                        |HS*|17 06 10.6035285848 +46 31 43.193115017|     ~|15.6  |     ~|16.30 |     ~|sdOC             |   7|   0
45  |PG 1536+690                        |HS*|15 36 48.7748500675 +68 52 07.513215610|     ~|14.53 |14.65 |14.90 |     ~|sdOC2VIIIHe40    |  16|   0
46  |PG 1249+762                        |HS*|12 50 39.9015306522 +75 53 00.166062545|     ~|15.0  |     ~|15.98 |     ~|sdOC2VIIIHe36    |  16|   1
47  |FBS 0929+733                       |HS*|09 33 59.2238938471 +73 02 56.950866141|     ~|16.82 |16.43 |     ~|     ~|sdOD             |   6|   0
