['21:51:05.1736248176', '+42:46:44.044886761']: 2
['21:47:24.2724212339', '+42:31:34.234986972']: 2
['22:43:34.8733318259', '+44:57:43.365350671']: 1
['02:22:54.2920198726', '+41:28:47.723244543']: 1
['02:47:34.9990353348', '+36:45:50.362716111']: 1
['23:24:32.7262135183', '+49:50:55.081129086']: 1
['23:52:07.5741889609', '+50:26:46.156054035']: 1
['23:02:00.3401164666', '+52:05:21.775821909']: 1
['23:29:14.4535532006', '+51:19:00.024626400']: 1
['00:35:52.3574070435', '+52:45:49.487715005']: 1
['03:12:08.2215445144', '+40:06:54.219212560']: 1
['23:26:14.8207203464', '+58:10:54.538636094']: 1
['03:22:38.9724192617', '+46:04:33.744562760']: 1
['20:08:07.1135734619', '+42:36:21.963024228']: 2
['23:11:14.8157204030', '+60:34:21.732077750']: 1
['23:35:41.4969750048', '+61:11:19.329083185']: 1
['02:02:30.1267578900', '+55:37:26.377362418']: 1
['02:11:29.7002216680', '+56:09:31.717631935']: 1
['20:09:50.5815085623', '+45:24:10.485607388']: 1
['02:21:13.5389198076', '+56:48:10.725251780']: 1
['19:39:39.8981482564', '+42:28:01.898809848']: 2
['04:00:54.3949102162', '+55:13:40.078679980']: 1
['20:40:46.8607886119', '+76:14:39.815208917']: 1
['07:00:08.9035427853', '+69:35:31.309699077']: 1
['17:17:22.0643903793', '+58:05:58.717001220']: 1
['16:38:43.7422246222', '+67:28:08.363468038']: 1
['09:21:19.1767236633', '+81:43:27.629923778']: 1
['17:13:50.3510580021', '+49:16:11.029774277']: 1
['15:36:48.7748500675', '+68:52:07.513215610']: 1
['09:33:59.2238938471', '+73:02:56.950866141']: 1
['16:29:12.1239414180', '+55:15:18.615021618']: 1
['08:37:34.7328211400', '+67:24:13.594597809']: 1
['08:40:44.0045730798', '+61:47:52.045417991']: 1
['14:14:20.9705004412', '+61:01:07.791791047']: 1
['08:26:49.6109695820', '+54:28:00.332275894']: 1
['16:14:46.9285124253', '+42:27:35.945737136']: 1
['15:31:00.6043014295', '+51:45:06.985220844']: 1
['13:50:16.0232560455', '+60:24:37.747250223']: 1
['11:22:42.6864800613', '+61:37:58.406280504']: 1
['09:28:30.5493216497', '+56:18:11.769992325']: 1
['08:27:36.7765365086', '+49:45:33.906411017']: 1
['14:51:17.4591052231', '+52:50:20.466224476']: 1
['09:38:20.3523773178', '+55:05:50.091654658']: 1
['08:02:59.8053825811', '+41:14:38.040331176']: 1
['15:25:53.4631595846', '+43:41:27.774692293']: 1
['13:55:15.9077325454', '+53:34:42.484907653']: 1
['08:28:57.5546375913', '+42:40:41.973582193']: 1
['14:48:57.1076823887', '+45:45:34.460341607']: 2
['13:36:40.9533414077', '+51:54:49.424110262']: 1
['08:22:26.2655489898', '+39:41:19.128786276']: 2
['08:28:02.0393554811', '+40:40:08.965782085']: 1
